date,title,category,entities_name,formatted_address,longitude,latitude,beat
10/4/2021,Rob Stapleton Live,performing-arts,null,null,-84.401384,33.65517,313
10/4/2021,Philadelphia Phillies vs Atlanta Braves,sports,Truist Park,"755 Battery Avenue Southeast Atlanta, GA 30339 United States of America",-84.467771,33.890785,201
10/4/2021,New Country 101.5 Presents Chase Rice,concerts,Coca-Cola Roxy,"800 Battery Ave SE #500 Atlanta, GA 30339 United States of America",-84.469726,33.890252,201
11/4/2021,Grex,concerts,Believe Music Hall,"181 Ralph David Abernathy Blvd Atlanta, GA 30312 United States of America",-84.393715,33.737039,303
11/4/2021,Arulu,concerts,Club Ozone,"Atlanta, GA United States of America",-84.403198,33.759499,102
11/4/2021,POSTPONED Todd Barry - 4/10/21- (Rescheduled from 5.20.20),performing-arts,City Winery,"201 650 North Avenue Northeast Atlanta, GA 30308 United States of America",-84.367436,33.771957,603
11/4/2021,Oak Lounge presents GA Comedy Fest,festivals,Oak Comedy Lounge,"30 Ivan Allen Jr Blvd Atlanta, GA 30308 United States of America",-84.3883,33.7644,504
11/4/2021,Urban Turquoise Art Showcase + Sip & Paint,expos,null,null,-84.378988,33.749725,604
11/4/2021,AMA Supercross 450SX - Atlanta,sports,Mercedes-benz Stadium,"1 AMB Dr NW Atlanta, GA 30313 United States of America",-84.400892,33.755403,507
11/4/2021,Cash Unchained (A Johnny Cash Tribute Show),community,null,null,-84.268162,33.776318,611
11/4/2021,Mick Wheeler,community,Marlow's Tavern Vinings,"2355 Cumberland Parkway Southeast Atlanta, GA 30339 United States of America",-84.480746,33.859465,201
11/4/2021,Jason Fulton,community,Marlow's Tavern Vinings,"2355 Cumberland Parkway Southeast Atlanta, GA 30339 United States of America",-84.480746,33.859465,201
11/4/2021,Severe Delays - Fulton County Airport (FTY),airport-delays,Fulton County Airport-Brown Field,"3952 Aviation Circle Northwest Atlanta, GA 30336 United States of America",-84.521645,33.777091,114
11/4/2021,Severe Delays - Fulton County Airport (FTY),airport-delays,Fulton County Airport-Brown Field,"3952 Aviation Circle Northwest Atlanta, GA 30336 United States of America",-84.521645,33.777091,114
11/4/2021,Moderate to Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
11/4/2021,Jay Leno,performing-arts,Cobb Energy Performing Arts Centre,"2800 Cobb Galleria Parkway Atlanta, GA 30339 United States of America",-84.458904,33.884729,201
11/4/2021,"The Late Show Hosted by DeMakco, Headlining Rob Stapleton",performing-arts,null,null,-84.401384,33.65517,313
11/4/2021,Rob Stapleton Live,performing-arts,null,null,-84.401384,33.65517,313
11/4/2021,Rob Stapleton Live,performing-arts,null,null,-84.401384,33.65517,313
11/4/2021,THE ATTITUDE TOUR,concerts,1380 Virginia Ave,"1380 Virginia Avenue Atlanta, GA United States of America",-84.434391,33.657912,50
11/4/2021,Tab Benoit with Samantha Fish,concerts,Coca-Cola Roxy Theater,"Battery Avenue Southeast Atlanta, GA 30339 United States of America",-84.471544,33.887363,201
11/4/2021,Chase Rice,concerts,Coca-Cola Roxy Theater,"Battery Avenue Southeast Atlanta, GA 30339 United States of America",-84.471544,33.887363,201
11/4/2021,Philadelphia Phillies vs Atlanta Braves,sports,Truist Park,"755 Battery Avenue Southeast Atlanta, GA 30339 United States of America",-84.467771,33.890785,201
